"Step","110-dynamic","110-dynamic - dead-1__MIN","110-dynamic - dead-1__MAX","110-ofb","110-ofbt - dead-1__MIN","110-ofbt - dead-1__MAX","110-static-1","110-static-1 - dead-1__MIN","110-static-1 - dead-1__MAX","110-every-100","110-every-100 - dead-1__MIN","110-every-100 - dead-1__MAX","110-every-10","110-every-10 - dead-1__MIN","110-every-10 - dead-1__MAX"
"1578","","","","","","","0","0","0","","","","","",""
"1590","","","","0","0","0","0","0","0","","","","","",""
"1598","","","","","","","0","0","0","","","","","",""
"1599","","","","0","0","0","","","","","","","","",""
"1602","","","","","","","","","","0","0","0","","",""
"1607","","","","","","","0","0","0","","","","","",""
"1612","","","","","","","0","0","0","","","","","",""
"1614","","","","","","","0","0","0","0","0","0","","",""
"1618","","","","","","","","","","","","","0","0","0"
"1621","","","","","","","0","0","0","","","","","",""
"1626","","","","0","0","0","","","","","","","","",""
"1628","0","0","0","","","","","","","","","","","",""
"1637","","","","","","","","","","","","","0","0","0"
"1640","","","","0","0","0","","","","","","","","",""
"1644","","","","","","","","","","","","","0","0","0"
"1645","0","0","0","","","","","","","","","","","",""
"1646","0","0","0","","","","","","","","","","","",""
"1648","","","","","","","","","","","","","0","0","0"
"1652","0","0","0","","","","","","","","","","","",""
"1654","","","","","","","0","0","0","","","","","",""
"1659","","","","0","0","0","0","0","0","","","","","",""
"1663","","","","","","","","","","0","0","0","","",""
"1668","","","","0","0","0","","","","1","1","1","","",""
"1675","0","0","0","","","","","","","","","","","",""
"1686","0","0","0","","","","","","","","","","","",""
"1691","","","","7","7","7","","","","0","0","0","","",""
"1692","","","","5","5","5","","","","","","","","",""
"1694","","","","","","","","","","0","0","0","","",""
"1698","","","","","","","","","","0","0","0","","",""
"1703","0","0","0","","","","","","","","","","","",""
"1706","","","","","","","0","0","0","","","","","",""
"1710","0","0","0","","","","","","","","","","","",""
"1728","","","","","","","0","0","0","","","","","",""
"1729","","","","","","","0","0","0","","","","","",""
"1733","","","","","","","0","0","0","","","","","",""
"1735","","","","","","","","","","0","0","0","","",""
"1737","0","0","0","","","","","","","","","","","",""
"1738","","","","","","","","","","0","0","0","","",""
"1741","","","","","","","","","","","","","0","0","0"
"1742","","","","","","","","","","0","0","0","","",""
"1743","","","","4","4","4","","","","","","","","",""
"1745","","","","1","1","1","","","","","","","","",""
"1750","0","0","0","","","","","","","","","","","",""
"1754","","","","","","","","","","0","0","0","","",""
"1755","","","","","","","0","0","0","","","","","",""
"1759","","","","","","","0","0","0","","","","","",""
"1762","","","","8","8","8","","","","","","","","",""
"1763","","","","11","11","11","","","","","","","","",""
"1771","","","","13","13","13","","","","","","","","",""
"1775","0","0","0","","","","","","","","","","","",""
"1778","","","","","","","0","0","0","","","","","",""
"1781","0","0","0","","","","","","","","","","","",""
"1782","","","","","","","","","","0","0","0","","",""
"1784","0","0","0","","","","","","","","","","","",""
"1788","","","","","","","","","","0","0","0","","",""
"1793","","","","","","","","","","0","0","0","","",""
"1794","0","0","0","","","","","","","","","","","",""
"1797","","","","","","","","","","","","","0","0","0"
"1803","","","","","","","0","0","0","","","","","",""
"1809","","","","","","","0","0","0","","","","","",""
"1811","0","0","0","","","","","","","","","","","",""
"1814","","","","","","","","","","","","","0","0","0"
"1817","","","","2","2","2","","","","","","","","",""
"1818","","","","","","","","","","","","","0","0","0"
"1824","","","","3","3","3","","","","","","","","",""
"1827","","","","","","","","","","0","0","0","","",""
"1829","","","","","","","0","0","0","","","","","",""
"1832","","","","8","8","8","","","","","","","","",""
"1835","","","","9","9","9","","","","0","0","0","","",""
"1837","0","0","0","7","7","7","","","","","","","","",""
"1845","0","0","0","","","","","","","","","","0","0","0"
"1847","0","0","0","","","","","","","","","","","",""
"1850","","","","","","","","","","","","","0","0","0"
"1852","","","","8","8","8","0","0","0","","","","","",""
"1854","","","","","","","","","","","","","0","0","0"
"1856","","","","","","","","","","0","0","0","","",""
"1857","","","","","","","0","0","0","","","","","",""
