"Step","110-dynamic","110-dynamic - drop-0__MIN","110-dynamic - drop-0__MAX","110-ofb","110-ofbt - drop-0__MIN","110-ofbt - drop-0__MAX","110-static-1","110-static-1 - drop-0__MIN","110-static-1 - drop-0__MAX","110-every-100","110-every-100 - drop-0__MIN","110-every-100 - drop-0__MAX","110-every-10","110-every-10 - drop-0__MIN","110-every-10 - drop-0__MAX"
"1535","","","","","","","0","0","0","0","0","0","","",""
"1542","","","","","","","0","0","0","","","","","",""
"1549","","","","","","","","","","","","","0","0","0"
"1561","","","","","","","","","","0","0","0","","",""
"1566","1","1","1","","","","","","","","","","","",""
"1569","2","2","2","","","","","","","","","","","",""
"1571","","","","","","","0","0","0","","","","","",""
"1577","1","1","1","","","","","","","","","","0","0","0"
"1582","","","","0","0","0","","","","","","","","",""
"1583","3","3","3","","","","","","","","","","","",""
"1591","","","","","","","","","","0","0","0","","",""
"1592","","","","","","","0","0","0","","","","0","0","0"
"1595","5","5","5","","","","","","","0","0","0","","",""
"1597","","","","0","0","0","","","","","","","","",""
"1598","0","0","0","","","","","","","","","","","",""
"1601","5","5","5","","","","","","","","","","","",""
"1607","","","","","","","","","","0","0","0","","",""
"1608","","","","","","","","","","","","","0","0","0"
"1610","","","","","","","","","","0","0","0","","",""
"1619","","","","0","0","0","","","","","","","0","0","0"
"1620","","","","0","0","0","","","","","","","","",""
"1629","2","2","2","","","","","","","0","0","0","","",""
"1630","","","","0","0","0","","","","","","","","",""
"1632","","","","","","","0","0","0","0","0","0","","",""
"1636","","","","","","","0","0","0","","","","","",""
"1643","","","","","","","","","","0","0","0","","",""
"1644","","","","","","","","","","","","","0","0","0"
"1651","","","","0","0","0","0","0","0","","","","","",""
"1652","","","","","","","","","","0","0","0","0","0","0"
"1655","","","","","","","","","","","","","0","0","0"
"1660","","","","","","","","","","0","0","0","","",""
"1661","","","","","","","0","0","0","","","","","",""
"1663","","","","","","","0","0","0","0","0","0","","",""
"1664","","","","","","","0","0","0","","","","","",""
"1670","","","","0","0","0","","","","","","","","",""
"1671","","","","","","","","","","","","","0","0","0"
"1675","0","0","0","","","","","","","","","","","",""
"1680","","","","","","","0","0","0","","","","","",""
"1688","","","","","","","","","","0","0","0","","",""
"1690","","","","","","","","","","0","0","0","","",""
"1694","","","","","","","","","","0","0","0","","",""
"1698","","","","","","","","","","","","","0","0","0"
"1700","","","","","","","0","0","0","","","","","",""
"1702","","","","","","","0","0","0","","","","","",""
"1706","","","","","","","0","0","0","","","","","",""
"1709","0","0","0","","","","","","","","","","","",""
"1712","","","","0","0","0","","","","","","","","",""
"1722","0","0","0","","","","","","","","","","0","0","0"
"1723","0","0","0","","","","","","","","","","","",""
"1725","0","0","0","","","","","","","","","","","",""
"1731","","","","","","","0","0","0","","","","","",""
"1742","","","","","","","","","","","","","0","0","0"
"1752","3","3","3","","","","","","","","","","","",""
"1758","6","6","6","","","","","","","","","","","",""
"1760","","","","0","0","0","","","","","","","","",""
"1768","2","2","2","","","","","","","","","","","",""
"1770","3","3","3","","","","","","","","","","","",""
"1771","","","","","","","","","","0","0","0","","",""
"1782","","","","","","","","","","","","","0","0","0"
"1783","","","","","","","","","","0","0","0","","",""
"1785","0","0","0","","","","","","","","","","","",""
"1791","","","","","","","","","","0","0","0","","",""
"1792","","","","0","0","0","","","","","","","","",""
"1794","","","","0","0","0","","","","","","","","",""
"1797","","","","0","0","0","","","","","","","","",""
"1800","","","","0","0","0","","","","","","","","",""
"1803","","","","","","","","","","0","0","0","","",""
"1809","","","","","","","","","","0","0","0","","",""
"1812","","","","","","","","","","0","0","0","","",""
"1817","","","","","","","","","","","","","0","0","0"
"1822","","","","","","","","","","0","0","0","0","0","0"
"1826","9","9","9","","","","","","","0","0","0","","",""
"1830","","","","","","","0","0","0","","","","0","0","0"
"1831","","","","","","","0","0","0","","","","","",""
"1832","","","","","","","","","","","","","0","0","0"
"1834","","","","","","","","","","","","","0","0","0"
"1839","5","5","5","","","","","","","","","","","",""
"1842","","","","","","","0","0","0","","","","","",""
"1844","","","","0","0","0","","","","","","","","",""
"1845","5","5","5","","","","","","","0","0","0","","",""
"1849","","","","","","","","","","0","0","0","","",""
"1850","","","","","","","","","","","","","0","0","0"
"1853","","","","0","0","0","0","0","0","","","","","",""
"1859","5","5","5","","","","","","","","","","","",""
