"Step","ofb-final-steps2M-Seed1 - slice1:incoming-traffic","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","static-final-steps2M-Seed1 - slice1:incoming-traffic","static-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","static-final-steps2M-Seed1 - slice1:incoming-traffic__MAX"
"35410","","","","","","","9","9","9"
"35440","","","","","","","10","10","10"
"35490","","","","","","","8","8","8"
"35530","8","8","8","7","7","7","","",""
"35550","6","6","6","14","14","14","","",""
"35740","","","","","","","10","10","10"
"35960","","","","","","","7","7","7"
"36110","","","","","","","10","10","10"
"36250","","","","","","","8","8","8"
"36280","10","10","10","8","8","8","","",""
"36410","12","12","12","10","10","10","","",""
"36460","","","","","","","10","10","10"
"36480","","","","","","","10","10","10"
"36490","11","11","11","8","8","8","","",""
"36510","","","","","","","11","11","11"
"36520","12","12","12","8","8","8","","",""
"36930","","","","","","","7","7","7"
"36970","","","","","","","8","8","8"
"37000","10","10","10","11","11","11","","",""
"37020","8","8","8","6","6","6","","",""
"37060","","","","","","","6","6","6"
"37110","15","15","15","9","9","9","","",""
"37140","11","11","11","10","10","10","","",""
"37270","","","","","","","11","11","11"
"37330","12","12","12","8","8","8","","",""
"37480","","","","","","","9","9","9"
"37500","","","","","","","11","11","11"
"37530","12","12","12","10","10","10","","",""
"37560","","","","","","","6","6","6"
"37570","10","10","10","3","3","3","","",""
"37640","","","","","","","6","6","6"
"37700","11","11","11","11","11","11","","",""
"37720","","","","","","","9","9","9"
"37850","","","","","","","5","5","5"
"38010","5","5","5","7","7","7","","",""
"38050","10","10","10","11","11","11","","",""
"38140","11","11","11","8","8","8","","",""
"38280","7","7","7","14","14","14","","",""
"38330","","","","","","","12","12","12"
"38400","","","","","","","8","8","8"
"38420","12","12","12","8","8","8","","",""
"38520","7","7","7","13","13","13","","",""
"38660","","","","","","","14","14","14"
"38800","","","","","","","8","8","8"
"38840","14","14","14","10","10","10","","",""
"38860","10","10","10","7","7","7","","",""
"38890","11","11","11","10","10","10","9","9","9"
"38950","8","8","8","7","7","7","11","11","11"
"39150","13","13","13","8","8","8","","",""
"39160","","","","","","","10","10","10"
"39190","10","10","10","14","14","14","","",""
"39210","","","","","","","9","9","9"
"39250","6","6","6","11","11","11","","",""
"39480","13","13","13","8","8","8","","",""
"39490","","","","","","","15","15","15"
"39510","","","","","","","6","6","6"
"39650","","","","","","","5","5","5"
"39720","","","","","","","9","9","9"
"39740","","","","","","","10","10","10"
"39750","","","","","","","8","8","8"
"39770","9","9","9","12","12","12","","",""
"39810","","","","","","","10","10","10"
"39850","14","14","14","13","13","13","","",""
"39920","9","9","9","7","7","7","","",""
"39970","","","","","","","11","11","11"
"39990","11","11","11","9","9","9","","",""
"40050","11","11","11","14","14","14","","",""
"40620","","","","","","","7","7","7"
"40700","11","11","11","12","12","12","","",""
"40720","","","","","","","11","11","11"
"40760","","","","","","","12","12","12"
"40810","","","","","","","8","8","8"
"40860","10","10","10","12","12","12","","",""
"40890","","","","","","","10","10","10"
"40900","","","","","","","10","10","10"
"41010","","","","","","","9","9","9"
"41020","10","10","10","7","7","7","11","11","11"
"41090","10","10","10","11","11","11","","",""
"41110","10","10","10","12","12","12","","",""
"41250","","","","11","11","11","","",""
"41670","","","","","","","11","11","11"
"41790","","","","","","","9","9","9"
"41890","7","7","7","8","8","8","","",""
"41970","","","","","","","8","8","8"
"42020","","","","","","","6","6","6"
"42030","","","","","","","9","9","9"
"42050","","","","","","","7","7","7"
"42070","10","10","10","8","8","8","","",""
"42110","","","","","","","10","10","10"
"42180","","","","","","","7","7","7"
"42210","","","","","","","9","9","9"
"42360","9","9","9","11","11","11","","",""
"42370","","","","","","","5","5","5"
"42540","","","","","","","8","8","8"
"42610","11","11","11","8","8","8","","",""
"42620","7","7","7","11","11","11","","",""
"42660","8","8","8","7","7","7","","",""
"42700","","","","","","","9","9","9"
"42730","","","","","","","9","9","9"
"42740","13","13","13","14","14","14","","",""
"42840","","","","","","","10","10","10"
"43050","11","11","11","11","11","11","","",""
"43280","","","","11","11","11","","",""
"43330","11","11","11","6","6","6","","",""
"43350","10","10","10","9","9","9","","",""
"43450","","","","","","","7","7","7"
"43530","10","10","10","12","12","12","","",""
"43570","14","14","14","11","11","11","","",""
"43670","","","","","","","11","11","11"
"43710","11","11","11","10","10","10","","",""
"43740","","","","","","","10","10","10"
"43950","10","10","10","10","10","10","11","11","11"
"44000","","","","","","","12","12","12"
"44090","","","","","","","5","5","5"
"44150","13","13","13","10","10","10","","",""
"44210","7","7","7","9","9","9","","",""
"44450","9","9","9","10","10","10","","",""
"44520","12","12","12","7","7","7","","",""
"44590","","","","","","","13","13","13"
"44630","13","13","13","9","9","9","","",""
"44670","6","6","6","8","8","8","","",""
"44710","9","9","9","11","11","11","","",""
"44820","","","","","","","10","10","10"
"44980","","","","","","","11","11","11"
"45080","10","10","10","9","9","9","","",""
"45090","5","5","5","7","7","7","","",""
"45190","","","","","","","8","8","8"
"45240","","","","","","","11","11","11"
"45400","","","","","","","9","9","9"
"45550","","","","","","","7","7","7"
"45640","","","","","","","11","11","11"
"45850","10","10","10","7","7","7","","",""
"46070","","","","","","","11","11","11"
"46080","8","8","8","8","8","8","","",""
"46100","10","10","10","8","8","8","","",""
"46120","11","11","11","10","10","10","12","12","12"
"46140","9","9","9","11","11","11","","",""
"46230","11","11","11","6","6","6","","",""
"46400","","","","","","","6","6","6"
"46570","7","7","7","9","9","9","","",""
"46650","","","","","","","12","12","12"
"46680","","","","","","","9","9","9"
"46720","11","11","11","12","12","12","","",""
"46730","11","11","11","9","9","9","","",""
"46840","7","7","7","12","12","12","","",""
"46930","","","","","","","10","10","10"
"46990","7","7","7","10","10","10","","",""
"47230","11","11","11","7","7","7","","",""
"47260","","","","","","","7","7","7"
"47330","","","","","","","6","6","6"
