"Step","102-static-1","102-static-1 - dead-1__MIN","102-static-1 - dead-1__MAX","102-ofb","102-ofbt - dead-1__MIN","102-ofbt - dead-1__MAX","102-dynamic","102-dynamic - dead-1__MIN","102-dynamic - dead-1__MAX","102-every-10","102-every-10 - dead-1__MIN","102-every-10 - dead-1__MAX","102-every-100","102-every-100 - dead-1__MIN","102-every-100 - dead-1__MAX"
"1831","0","0","0","","","","","","","","","","","",""
"1832","0","0","0","","","","","","","","","","","",""
"1835","","","","","","","","","","","","","0","0","0"
"1836","0","0","0","","","","","","","","","","","",""
"1838","","","","","","","0","0","0","","","","","",""
"1843","","","","","","","","","","","","","0","0","0"
"1846","","","","0","0","0","","","","","","","","",""
"1850","0","0","0","","","","","","","","","","","",""
"1853","","","","","","","","","","","","","0","0","0"
"1860","","","","","","","","","","","","","0","0","0"
"1873","0","0","0","","","","","","","","","","","",""
"1876","0","0","0","","","","","","","","","","","",""
"1888","","","","","","","","","","","","","0","0","0"
"1898","","","","0","0","0","0","0","0","","","","","",""
"1899","","","","","","","","","","0","0","0","","",""
"1901","","","","","","","","","","0","0","0","","",""
"1902","","","","0","0","0","","","","","","","","",""
"1905","","","","","","","0","0","0","","","","","",""
"1906","0","0","0","","","","","","","","","","","",""
"1908","","","","","","","","","","0","0","0","","",""
"1913","","","","","","","","","","0","0","0","","",""
"1915","","","","","","","","","","","","","0","0","0"
"1917","0","0","0","","","","","","","","","","","",""
"1920","","","","","","","","","","","","","0","0","0"
"1921","","","","","","","","","","0","0","0","","",""
"1923","","","","","","","0","0","0","0","0","0","","",""
"1925","0","0","0","","","","","","","","","","","",""
"1930","","","","","","","","","","6","6","6","","",""
"1932","","","","","","","","","","","","","0","0","0"
"1934","0","0","0","","","","","","","8","8","8","","",""
"1936","","","","","","","","","","12","12","12","","",""
