"Step","102-static-1","102-static-1 - latency-1__MIN","102-static-1 - latency-1__MAX","102-ofb","102-ofbt - latency-1__MIN","102-ofbt - latency-1__MAX","102-dynamic","102-dynamic - latency-1__MIN","102-dynamic - latency-1__MAX","102-every-10","102-every-10 - latency-1__MIN","102-every-10 - latency-1__MAX","102-every-100","102-every-100 - latency-1__MIN","102-every-100 - latency-1__MAX"
"1628","","","","","","","","","","0","0","0","60.2","60.2","60.2"
"1630","","","","","","","0","0","0","","","","","",""
"1631","","","","","","","0","0","0","","","","","",""
"1633","","","","","","","","","","0","0","0","59","59","59"
"1636","","","","7.222222222222222","7.222222222222222","7.222222222222222","","","","0","0","0","61","61","61"
"1640","0","0","0","","","","","","","","","","","",""
"1641","","","","","","","","","","0","0","0","61.75","61.75","61.75"
"1647","","","","","","","1.8571428571428572","1.8571428571428572","1.8571428571428572","","","","","",""
"1651","","","","","","","2.1666666666666665","2.1666666666666665","2.1666666666666665","","","","","",""
"1653","","","","9.285714285714286","9.285714285714286","9.285714285714286","","","","","","","","",""
"1658","","","","","","","3","3","3","","","","","",""
"1673","","","","","","","","","","0","0","0","55.857142857142854","55.857142857142854","55.857142857142854"
"1683","","","","","","","","","","0","0","0","57.3","57.3","57.3"
"1690","0","0","0","","","","","","","","","","","",""
"1692","","","","","","","","","","0","0","0","50.666666666666664","50.666666666666664","50.666666666666664"
"1693","","","","","","","","","","0","0","0","49.63636363636363","49.63636363636363","49.63636363636363"
"1696","","","","","","","","","","0","0","0","48","48","48"
"1697","","","","12","12","12","","","","","","","","",""
"1698","","","","","","","1","1","1","","","","","",""
"1699","","","","13","13","13","","","","","","","","",""
"1701","","","","","","","2","2","2","","","","","",""
"1702","","","","14","14","14","","","","","","","","",""
"1705","","","","","","","","","","0","0","0","47.63636363636363","47.63636363636363","47.63636363636363"
"1706","","","","13.2","13.2","13.2","","","","","","","","",""
"1708","","","","13.6","13.6","13.6","","","","","","","","",""
"1711","","","","","","","","","","1","1","1","44.54545454545455","44.54545454545455","44.54545454545455"
"1714","0","0","0","14","14","14","","","","","","","","",""
"1737","","","","8.272727272727273","8.272727272727273","8.272727272727273","","","","","","","","",""
"1741","0","0","0","","","","","","","","","","","",""
"1746","0","0","0","","","","","","","","","","","",""
"1757","","","","0","0","0","0","0","0","","","","","",""
"1762","","","","","","","0","0","0","","","","","",""
"1763","0","0","0","","","","","","","","","","","",""
"1771","","","","0","0","0","","","","","","","","",""
"1774","","","","0","0","0","","","","","","","","",""
"1775","0","0","0","","","","","","","","","","","",""
"1776","0","0","0","","","","0.3","0.3","0.3","0","0","0","0","0","0"
"1803","","","","0","0","0","","","","","","","","",""
"1805","0","0","0","","","","","","","","","","","",""
"1815","","","","0","0","0","","","","","","","","",""
"1816","0","0","0","","","","","","","","","","","",""
"1830","","","","0","0","0","","","","","","","","",""
